ds,y
2021-08-06 03:50:08,73.8
2021-08-06 03:52:08,73.8
2021-08-06 03:54:08,73.8
2021-08-06 03:56:08,73.8
2021-08-06 03:58:08,73.8
2021-08-06 04:00:08,73.8
2021-08-06 04:02:08,73.8
2021-08-06 04:04:08,73.8
2021-08-06 04:06:08,73.8
2021-08-06 04:08:08,73.9
2021-08-06 04:10:08,73.8
2021-08-06 04:12:08,73.8
2021-08-06 04:14:08,73.9
2021-08-06 04:16:08,73.9
2021-08-06 04:18:08,73.9
2021-08-06 04:20:08,73.9
2021-08-06 04:22:08,73.9
2021-08-06 04:24:08,73.9
2021-08-06 04:26:08,73.9
2021-08-06 04:28:08,73.9
2021-08-06 04:30:08,73.9
2021-08-06 04:32:08,73.9
2021-08-06 04:34:08,73.9
2021-08-06 04:36:08,73.9
2021-08-06 04:38:08,73.9
2021-08-06 04:40:08,73.9
2021-08-06 04:42:08,73.9
2021-08-06 04:44:08,73.9
2021-08-06 04:46:08,73.9
2021-08-06 04:48:08,73.9
2021-08-06 04:50:08,73.9
2021-08-06 04:52:08,73.9
2021-08-06 04:54:08,73.9
2021-08-06 04:56:08,73.9
2021-08-06 04:58:08,73.9
2021-08-06 05:00:08,74.0
2021-08-06 05:02:08,74.0
2021-08-06 05:04:08,73.9
2021-08-06 05:06:08,74.0
2021-08-06 05:08:09,73.9
2021-08-06 05:10:08,73.9
2021-08-06 05:12:08,73.9
2021-08-06 05:14:08,73.9
2021-08-06 05:16:08,74.0
2021-08-06 05:18:08,74.0
2021-08-06 05:20:08,74.0
2021-08-06 05:22:08,74.0
2021-08-06 05:24:08,74.0
2021-08-06 05:26:08,74.0
2021-08-06 05:28:08,74.0
2021-08-06 05:30:08,74.0
2021-08-06 05:32:08,74.0
2021-08-06 05:34:08,74.0
2021-08-06 05:36:08,74.0
2021-08-06 05:38:08,74.0
2021-08-06 05:40:08,74.0
2021-08-06 05:42:08,74.0
2021-08-06 05:44:08,74.0
2021-08-06 05:46:08,74.0
2021-08-06 05:48:08,74.0
2021-08-06 05:50:08,74.0
2021-08-06 05:52:08,74.0
2021-08-06 05:54:08,74.0
2021-08-06 05:56:08,74.0
2021-08-06 05:58:08,74.0
2021-08-06 06:00:08,74.0
2021-08-06 06:02:08,74.0
2021-08-06 06:04:08,74.0
2021-08-06 06:06:08,74.0
2021-08-06 06:08:08,74.0
2021-08-06 06:10:08,74.0
2021-08-06 06:12:08,74.0
